"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.436809528,
"FIN","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.924668988,
"FIN","QGDP","TOT","PC_CHGPP","Q","2009-Q4",-0.771944872,
"FIN","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.001905585,
"FIN","QGDP","TOT","PC_CHGPP","Q","2010-Q2",2.761947367,
"FIN","QGDP","TOT","PC_CHGPP","Q","2010-Q3",-0.410728143,
"FIN","QGDP","TOT","PC_CHGPP","Q","2010-Q4",2.100121636,
"FIN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.558440833,
"FIN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.174006405,
"FIN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.122387672,
"FIN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.027781379,
"FIN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-0.4369723,
"FIN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-1.058171539,
"FIN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-0.385316617,
"FIN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.07736141,
"FIN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.857299318,
"FIN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.460926042,
"FIN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.348848232,
"FIN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.179485726,
"FIN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",-0.772230003,
"FIN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.162133293,
"FIN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.386585668,
"FIN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",-0.239025686,
"FIN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",-0.777743972,
"FIN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",1.521684969,
"FIN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",-0.009438771,
"FIN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.560715904,
"FIN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",1.233455365,
"FIN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.155780572,
"FIN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.129504129,
"FIN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.307602168,
